"species","predictor_set","algorithm","metric","comparison","Z","p_adj","significant"
"sp1_generalist_common","raw12","glm","tss","uniform+ - random",9.0729,3.478e-19,TRUE
"sp1_generalist_common","raw12","glm","boyce","uniform+ - buffer",-1.2452,0.213,FALSE
"sp1_generalist_common","raw12","glm","boyce","uniform+ - random",-6.1917,1.786e-09,TRUE
"sp1_generalist_common","raw12","gam","cor_truth","uniform+ - buffer",-6.995,5.305e-12,TRUE
"sp1_generalist_common","raw12","gam","cor_truth","uniform+ - random",-10.1092,1.508e-23,TRUE
"sp1_generalist_common","raw12","gam","rmse_truth","uniform+ - buffer",5.7636,1.647e-08,TRUE
"sp1_generalist_common","raw12","gam","rmse_truth","uniform+ - random",11.4166,1.036e-29,TRUE
"sp1_generalist_common","raw12","gam","auc","uniform+ - buffer",-1.5353,0.1247,FALSE
"sp1_generalist_common","raw12","gam","auc","uniform+ - random",7.8191,1.064e-14,TRUE
"sp1_generalist_common","raw12","gam","tss","uniform+ - buffer",0.068,0.9458,FALSE
"sp1_generalist_common","raw12","gam","tss","uniform+ - random",8.6589,1.429e-17,TRUE
"sp1_generalist_common","raw12","gam","boyce","uniform+ - buffer",-2.6312,0.008508,TRUE
"sp1_generalist_common","raw12","gam","boyce","uniform+ - random",-7.0991,3.767e-12,TRUE
"sp1_generalist_common","raw12","rf","cor_truth","uniform+ - buffer",-8.8663,2.268e-18,TRUE
"sp1_generalist_common","raw12","rf","cor_truth","uniform+ - random",-7.8098,1.145e-14,TRUE
"sp1_generalist_common","raw12","rf","rmse_truth","uniform+ - buffer",5.6853,1.306e-08,TRUE
"sp1_generalist_common","raw12","rf","rmse_truth","uniform+ - random",11.4397,7.948e-30,TRUE
"sp1_generalist_common","raw12","rf","auc","uniform+ - buffer",-0.0875,0.9303,FALSE
"sp1_generalist_common","raw12","rf","auc","uniform+ - random",8.5879,1.771e-17,TRUE
"sp1_generalist_common","raw12","rf","tss","uniform+ - buffer",0.927,0.3539,FALSE
"sp1_generalist_common","raw12","rf","tss","uniform+ - random",9.1073,2.534e-19,TRUE
"sp1_generalist_common","raw12","rf","boyce","uniform+ - buffer",-3.883,0.0002063,TRUE
"sp1_generalist_common","raw12","rf","boyce","uniform+ - random",-4.9418,2.322e-06,TRUE
"sp1_generalist_common","raw12","brt","cor_truth","uniform+ - buffer",-7.6671,3.519e-14,TRUE
"sp1_generalist_common","raw12","brt","cor_truth","uniform+ - random",-9.5476,3.981e-21,TRUE
"sp1_generalist_common","raw12","brt","rmse_truth","uniform+ - buffer",5.9017,7.197e-09,TRUE
"sp1_generalist_common","raw12","brt","rmse_truth","uniform+ - random",11.3476,2.287e-29,TRUE
"sp1_generalist_common","raw12","brt","auc","uniform+ - buffer",0.7619,0.4461,FALSE
"sp1_generalist_common","raw12","brt","auc","uniform+ - random",9.0126,6.039e-19,TRUE
"sp1_generalist_common","raw12","brt","tss","uniform+ - buffer",1.5514,0.1208,FALSE
"sp1_generalist_common","raw12","brt","tss","uniform+ - random",9.3923,1.761e-20,TRUE
"sp1_generalist_common","raw12","brt","boyce","uniform+ - buffer",-2.4675,0.02721,TRUE
"sp1_generalist_common","raw12","brt","boyce","uniform+ - random",-4.5897,1.332e-05,TRUE
"sp1_generalist_common","raw12","maxent","cor_truth","uniform+ - buffer",-9.3128,3.734e-20,TRUE
"sp1_generalist_common","raw12","maxent","cor_truth","uniform+ - random",-7.8535,8.089e-15,TRUE
"sp1_generalist_common","raw12","maxent","rmse_truth","uniform+ - buffer",9.3336,3.071e-20,TRUE
"sp1_generalist_common","raw12","maxent","rmse_truth","uniform+ - random",7.605,5.7e-14,TRUE
"sp1_generalist_common","raw12","maxent","auc","uniform+ - buffer",0.2854,0.7753,FALSE
"sp1_generalist_common","raw12","maxent","auc","uniform+ - random",8.7744,5.157e-18,TRUE
"sp1_generalist_common","raw12","maxent","tss","uniform+ - buffer",0.9108,0.3624,FALSE
"sp1_generalist_common","raw12","maxent","tss","uniform+ - random",9.0886,3.008e-19,TRUE
"sp1_generalist_common","raw12","maxent","boyce","uniform+ - buffer",-2.9762,0.005838,TRUE
"sp1_generalist_common","raw12","maxent","boyce","uniform+ - random",-3.8117,0.0004141,TRUE
"sp2_specialist_common","pc5","glm","cor_truth","uniform+ - buffer",-4.928,8.306e-07,TRUE
"sp2_specialist_common","pc5","glm","cor_truth","uniform+ - random",-10.7814,1.265e-26,TRUE
"sp2_specialist_common","pc5","glm","rmse_truth","uniform+ - buffer",4.0557,4.999e-05,TRUE
"sp2_specialist_common","pc5","glm","rmse_truth","uniform+ - random",10.6456,5.487e-26,TRUE
"sp2_specialist_common","pc5","glm","auc","uniform+ - buffer",-2.5803,0.009872,TRUE
"sp2_specialist_common","pc5","glm","auc","uniform+ - random",6.9652,6.56e-12,TRUE
"sp2_specialist_common","pc5","glm","tss","uniform+ - buffer",0.2307,0.8175,FALSE
"sp2_specialist_common","pc5","glm","tss","uniform+ - random",8.6073,2.243e-17,TRUE
"sp2_specialist_common","pc5","glm","boyce","uniform+ - buffer",1.411,0.1583,FALSE
"sp2_specialist_common","pc5","glm","boyce","uniform+ - random",-4.5597,1.024e-05,TRUE
"sp2_specialist_common","pc5","gam","cor_truth","uniform+ - buffer",-3.1016,0.001925,TRUE
"sp2_specialist_common","pc5","gam","cor_truth","uniform+ - random",-10.0778,2.078e-23,TRUE
"sp2_specialist_common","pc5","gam","rmse_truth","uniform+ - buffer",2.967,0.003007,TRUE
"sp2_specialist_common","pc5","gam","rmse_truth","uniform+ - random",10.0792,2.049e-23,TRUE
"sp2_specialist_common","pc5","gam","auc","uniform+ - buffer",-0.5708,0.5681,FALSE
"sp2_specialist_common","pc5","gam","auc","uniform+ - random",7.2413,8.888e-13,TRUE
"sp2_specialist_common","pc5","gam","tss","uniform+ - buffer",-0.1416,0.8874,FALSE
"sp2_specialist_common","pc5","gam","tss","uniform+ - random",8.3375,1.517e-16,TRUE
"sp2_specialist_common","pc5","gam","boyce","uniform+ - buffer",-0.2381,0.8118,FALSE
"sp2_specialist_common","pc5","gam","boyce","uniform+ - random",-2.4874,0.0386,TRUE
"sp2_specialist_common","pc5","rf","cor_truth","uniform+ - buffer",-3.7633,0.0001677,TRUE
"sp2_specialist_common","pc5","rf","cor_truth","uniform+ - random",-10.0816,1.998e-23,TRUE
"sp2_specialist_common","pc5","rf","rmse_truth","uniform+ - buffer",3.5401,4e-04,TRUE
"sp2_specialist_common","pc5","rf","rmse_truth","uniform+ - random",10.3394,1.402e-24,TRUE
"sp2_specialist_common","pc5","rf","auc","uniform+ - buffer",-0.8748,0.3817,FALSE
"sp2_specialist_common","pc5","rf","auc","uniform+ - random",8.1951,5.007e-16,TRUE
"sp2_specialist_common","pc5","rf","tss","uniform+ - buffer",0.4347,0.6638,FALSE
"sp2_specialist_common","pc5","rf","tss","uniform+ - random",8.8752,2.095e-18,TRUE
"sp2_specialist_common","pc5","rf","boyce","uniform+ - buffer",-1.533,0.3759,FALSE
"sp2_specialist_common","pc5","rf","boyce","uniform+ - random",-1.4432,0.2979,FALSE
"sp2_specialist_common","pc5","brt","cor_truth","uniform+ - buffer",-4.2283,2.355e-05,TRUE
"sp2_specialist_common","pc5","brt","cor_truth","uniform+ - random",-10.4798,3.208e-25,TRUE
"sp2_specialist_common","pc5","brt","rmse_truth","uniform+ - buffer",3.6851,0.0002286,TRUE
"sp2_specialist_common","pc5","brt","rmse_truth","uniform+ - random",10.4085,6.805e-25,TRUE
"sp2_specialist_common","pc5","brt","auc","uniform+ - buffer",-1.4249,0.1542,FALSE
"sp2_specialist_common","pc5","brt","auc","uniform+ - random",7.8748,6.826e-15,TRUE
"sp2_specialist_common","pc5","brt","tss","uniform+ - buffer",-0.1456,0.8843,FALSE
"sp2_specialist_common","pc5","brt","tss","uniform+ - random",8.5684,2.099e-17,TRUE
"sp2_specialist_common","pc5","brt","boyce","uniform+ - buffer",-1.5629,0.2362,FALSE
"sp2_specialist_common","pc5","brt","boyce","uniform+ - random",-1.9933,0.1387,FALSE
"sp2_specialist_common","pc5","maxent","cor_truth","uniform+ - buffer",-6.5277,1.335e-10,TRUE
"sp2_specialist_common","pc5","maxent","cor_truth","uniform+ - random",-9.9067,1.168e-22,TRUE
"sp2_specialist_common","pc5","maxent","rmse_truth","uniform+ - buffer",6.7441,3.08e-11,TRUE
"sp2_specialist_common","pc5","maxent","rmse_truth","uniform+ - random",9.5937,2.55e-21,TRUE
"sp2_specialist_common","pc5","maxent","auc","uniform+ - buffer",-2.1179,0.03418,TRUE
"sp2_specialist_common","pc5","maxent","auc","uniform+ - random",7.5393,9.447e-14,TRUE
"sp2_specialist_common","pc5","maxent","tss","uniform+ - buffer",-0.6819,0.4953,FALSE
"sp2_specialist_common","pc5","maxent","tss","uniform+ - random",8.3167,1.809e-16,TRUE
"sp2_specialist_common","pc5","maxent","boyce","uniform+ - buffer",-2.5227,0.03494,TRUE
"sp2_specialist_common","pc5","maxent","boyce","uniform+ - random",-2.1728,0.05958,FALSE
"sp2_specialist_common","raw12","glm","cor_truth","uniform+ - buffer",-5.706,2.313e-08,TRUE
"sp2_specialist_common","raw12","glm","cor_truth","uniform+ - random",-10.908,3.168e-27,TRUE
"sp2_specialist_common","raw12","glm","rmse_truth","uniform+ - buffer",5.149,2.619e-07,TRUE
"sp2_specialist_common","raw12","glm","rmse_truth","uniform+ - random",11.1957,1.284e-28,TRUE
"sp2_specialist_common","raw12","glm","auc","uniform+ - buffer",-2.6091,0.009078,TRUE
"sp2_specialist_common","raw12","glm","auc","uniform+ - random",7.0976,2.538e-12,TRUE
"sp2_specialist_common","raw12","glm","tss","uniform+ - buffer",0.5431,0.5871,FALSE
"sp2_specialist_common","raw12","glm","tss","uniform+ - random",8.8242,3.307e-18,TRUE
"sp2_specialist_common","raw12","glm","boyce","uniform+ - buffer",2.5353,0.01124,TRUE
"sp2_specialist_common","raw12","glm","boyce","uniform+ - random",-4.8173,2.91e-06,TRUE
"sp2_specialist_common","raw12","gam","cor_truth","uniform+ - buffer",-4.714,2.429e-06,TRUE
"sp2_specialist_common","raw12","gam","cor_truth","uniform+ - random",-10.9471,2.059e-27,TRUE
"sp2_specialist_common","raw12","gam","rmse_truth","uniform+ - buffer",4.6081,4.064e-06,TRUE
"sp2_specialist_common","raw12","gam","rmse_truth","uniform+ - random",10.9287,2.522e-27,TRUE
"sp2_specialist_common","raw12","gam","auc","uniform+ - buffer",-1.0324,0.3019,FALSE
"sp2_specialist_common","raw12","gam","auc","uniform+ - random",5.8696,8.74e-09,TRUE
"sp2_specialist_common","raw12","gam","tss","uniform+ - buffer",-0.7989,0.4244,FALSE
"sp2_specialist_common","raw12","gam","tss","uniform+ - random",7.9543,3.603e-15,TRUE
"sp2_specialist_common","raw12","gam","boyce","uniform+ - buffer",-1.904,0.05691,FALSE
"sp2_specialist_common","raw12","gam","boyce","uniform+ - random",-6.502,2.378e-10,TRUE
"sp2_specialist_common","raw12","rf","cor_truth","uniform+ - buffer",-5.4827,4.188e-08,TRUE
"sp2_specialist_common","raw12","rf","cor_truth","uniform+ - random",-11.0898,4.219e-28,TRUE
"sp2_specialist_common","raw12","rf","rmse_truth","uniform+ - buffer",5.2319,1.678e-07,TRUE
"sp2_specialist_common","raw12","rf","rmse_truth","uniform+ - random",11.2302,8.695e-29,TRUE
"sp2_specialist_common","raw12","rf","auc","uniform+ - buffer",-1.738,0.08221,FALSE
"sp2_specialist_common","raw12","rf","auc","uniform+ - random",7.7634,1.654e-14,TRUE
"sp2_specialist_common","raw12","rf","tss","uniform+ - buffer",-0.3233,0.7464,FALSE
"sp2_specialist_common","raw12","rf","tss","uniform+ - random",8.4712,4.858e-17,TRUE
"sp2_specialist_common","raw12","rf","boyce","uniform+ - buffer",-2.1544,0.09362,FALSE
"sp2_specialist_common","raw12","rf","boyce","uniform+ - random",-1.5053,0.2645,FALSE
"sp2_specialist_common","raw12","brt","cor_truth","uniform+ - buffer",-5.8257,1.137e-08,TRUE
"sp2_specialist_common","raw12","brt","cor_truth","uniform+ - random",-11.1888,1.389e-28,TRUE
"sp2_specialist_common","raw12","brt","rmse_truth","uniform+ - buffer",5.5173,3.443e-08,TRUE
"sp2_specialist_common","raw12","brt","rmse_truth","uniform+ - random",11.366,1.853e-29,TRUE
"sp2_specialist_common","raw12","brt","auc","uniform+ - buffer",-2.0602,0.03938,TRUE
"sp2_specialist_common","raw12","brt","auc","uniform+ - random",7.602,5.831e-14,TRUE
"sp2_specialist_common","raw12","brt","tss","uniform+ - buffer",-0.6161,0.5378,FALSE
"sp2_specialist_common","raw12","brt","tss","uniform+ - random",8.2654,2.785e-16,TRUE
"sp2_specialist_common","raw12","brt","boyce","uniform+ - buffer",-1.4639,0.1432,FALSE
"sp2_specialist_common","raw12","brt","boyce","uniform+ - random",-4.1569,9.676e-05,TRUE
"sp2_specialist_common","raw12","maxent","cor_truth","uniform+ - buffer",-6.8224,1.791e-11,TRUE
"sp2_specialist_common","raw12","maxent","cor_truth","uniform+ - random",-10.4407,4.848e-25,TRUE
"sp2_specialist_common","raw12","maxent","rmse_truth","uniform+ - buffer",7.0203,4.427e-12,TRUE
"sp2_specialist_common","raw12","maxent","rmse_truth","uniform+ - random",10.2358,4.11e-24,TRUE
"sp2_specialist_common","raw12","maxent","auc","uniform+ - buffer",-1.7403,0.08181,FALSE
"sp2_specialist_common","raw12","maxent","auc","uniform+ - random",7.7415,1.965e-14,TRUE
"sp2_specialist_common","raw12","maxent","tss","uniform+ - buffer",-0.4656,0.6415,FALSE
"sp2_specialist_common","raw12","maxent","tss","uniform+ - random",8.3542,1.317e-16,TRUE
"sp2_specialist_common","raw12","maxent","boyce","uniform+ - buffer",-2.9831,0.005708,TRUE
"sp2_specialist_common","raw12","maxent","boyce","uniform+ - random",-3.6529,0.000778,TRUE
"sp3_generalist_rare","pc5","glm","cor_truth","uniform+ - buffer",-7.5014,1.263e-13,TRUE
"sp3_generalist_rare","pc5","glm","cor_truth","uniform+ - random",-9.7617,4.932e-22,TRUE
"sp3_generalist_rare","pc5","glm","rmse_truth","uniform+ - buffer",5.7636,1.647e-08,TRUE
"sp3_generalist_rare","pc5","glm","rmse_truth","uniform+ - random",11.465,5.935e-30,TRUE
"sp3_generalist_rare","pc5","glm","auc","uniform+ - buffer",-8.4544,8.419e-17,TRUE
"sp3_generalist_rare","pc5","glm","auc","uniform+ - random",-1.8759,0.06066,FALSE
"sp3_generalist_rare","pc5","glm","tss","uniform+ - buffer",-6.3824,3.488e-10,TRUE
"sp3_generalist_rare","pc5","glm","tss","uniform+ - random",0.7039,0.4815,FALSE
"sp3_generalist_rare","pc5","glm","boyce","uniform+ - buffer",-3.959,0.0001505,TRUE
"sp3_generalist_rare","pc5","glm","boyce","uniform+ - random",-4.3342,4.389e-05,TRUE
"sp3_generalist_rare","pc5","gam","cor_truth","uniform+ - buffer",-6.8753,1.237e-11,TRUE
"sp3_generalist_rare","pc5","gam","cor_truth","uniform+ - random",-10.3601,1.129e-24,TRUE
"sp3_generalist_rare","pc5","gam","rmse_truth","uniform+ - buffer",5.5518,2.827e-08,TRUE
"sp3_generalist_rare","pc5","gam","rmse_truth","uniform+ - random",11.3522,2.17e-29,TRUE
"sp3_generalist_rare","pc5","gam","auc","uniform+ - buffer",-1.716,0.08617,FALSE
"sp3_generalist_rare","pc5","gam","auc","uniform+ - random",7.2229,1.018e-12,TRUE
"sp3_generalist_rare","pc5","gam","tss","uniform+ - buffer",-1.3284,0.1841,FALSE
"sp3_generalist_rare","pc5","gam","tss","uniform+ - random",7.2905,6.176e-13,TRUE
"sp3_generalist_rare","pc5","gam","boyce","uniform+ - buffer",-2.0048,0.08997,FALSE
"sp3_generalist_rare","pc5","gam","boyce","uniform+ - random",-2.9186,0.01055,TRUE
"sp3_generalist_rare","pc5","rf","cor_truth","uniform+ - buffer",-8.719,8.42e-18,TRUE
"sp3_generalist_rare","pc5","rf","cor_truth","uniform+ - random",-8.5441,2.592e-17,TRUE
"sp3_generalist_rare","pc5","rf","rmse_truth","uniform+ - buffer",5.8879,7.825e-09,TRUE
