"species","predictor_set","algorithm","metric","comparison","Z","p_adj","significant"
"sp3_generalist_rare","raw12","brt","auc","uniform+ - buffer",-2.4571,0.01401,TRUE
"sp3_generalist_rare","raw12","brt","auc","uniform+ - random",6.6555,5.646e-11,TRUE
"sp3_generalist_rare","raw12","brt","tss","uniform+ - buffer",-1.7416,0.08157,FALSE
"sp3_generalist_rare","raw12","brt","tss","uniform+ - random",6.9942,5.334e-12,TRUE
"sp3_generalist_rare","raw12","brt","boyce","uniform+ - buffer",-0.0898,0.9285,FALSE
"sp3_generalist_rare","raw12","brt","boyce","uniform+ - random",1.2498,0.4227,FALSE
"sp3_generalist_rare","raw12","maxent","cor_truth","uniform+ - buffer",-8.8364,2.966e-18,TRUE
"sp3_generalist_rare","raw12","maxent","cor_truth","uniform+ - random",-8.4267,7.113e-17,TRUE
"sp3_generalist_rare","raw12","maxent","rmse_truth","uniform+ - buffer",9.0689,3.608e-19,TRUE
"sp3_generalist_rare","raw12","maxent","rmse_truth","uniform+ - random",8.1321,8.442e-16,TRUE
"sp3_generalist_rare","raw12","maxent","auc","uniform+ - buffer",-1.5514,0.1208,FALSE
"sp3_generalist_rare","raw12","maxent","auc","uniform+ - random",7.3725,3.348e-13,TRUE
"sp3_generalist_rare","raw12","maxent","tss","uniform+ - buffer",-0.6752,0.4996,FALSE
"sp3_generalist_rare","raw12","maxent","tss","uniform+ - random",7.7161,2.398e-14,TRUE
"sp3_generalist_rare","raw12","maxent","boyce","uniform+ - buffer",-0.8632,0.3881,FALSE
"sp3_generalist_rare","raw12","maxent","boyce","uniform+ - random",1.8161,0.1387,FALSE
"sp4_specialist_rare","pc5","glm","cor_truth","uniform+ - buffer",-6.827,1.735e-11,TRUE
"sp4_specialist_rare","pc5","glm","cor_truth","uniform+ - random",-7.7983,1.882e-14,TRUE
"sp4_specialist_rare","pc5","glm","rmse_truth","uniform+ - buffer",4.1984,5.377e-05,TRUE
"sp4_specialist_rare","pc5","glm","rmse_truth","uniform+ - random",5.759,2.539e-08,TRUE
"sp4_specialist_rare","pc5","glm","auc","uniform+ - buffer",-4.51,1.945e-05,TRUE
"sp4_specialist_rare","pc5","glm","auc","uniform+ - random",-4.2303,4.669e-05,TRUE
"sp4_specialist_rare","pc5","glm","tss","uniform+ - buffer",-4.3048,5.014e-05,TRUE
"sp4_specialist_rare","pc5","glm","tss","uniform+ - random",-4.2219,4.845e-05,TRUE
"sp4_specialist_rare","pc5","glm","boyce","uniform+ - buffer",-0.4921,1,FALSE
"sp4_specialist_rare","pc5","glm","boyce","uniform+ - random",-0.7776,1,FALSE
"sp4_specialist_rare","pc5","gam","cor_truth","uniform+ - buffer",-0.6997,0.4841,FALSE
"sp4_specialist_rare","pc5","gam","cor_truth","uniform+ - random",-1.4547,0.4373,FALSE
"sp4_specialist_rare","pc5","gam","rmse_truth","uniform+ - buffer",0.847,0.397,FALSE
"sp4_specialist_rare","pc5","gam","rmse_truth","uniform+ - random",2.3501,0.05631,FALSE
"sp4_specialist_rare","pc5","gam","auc","uniform+ - buffer",0.1811,0.8563,FALSE
"sp4_specialist_rare","pc5","gam","auc","uniform+ - random",1.5869,0.3376,FALSE
"sp4_specialist_rare","pc5","gam","tss","uniform+ - buffer",0.2435,0.8076,FALSE
"sp4_specialist_rare","pc5","gam","tss","uniform+ - random",1.7402,0.2455,FALSE
"sp4_specialist_rare","pc5","gam","boyce","uniform+ - buffer",0.1457,0.8841,FALSE
"sp4_specialist_rare","pc5","gam","boyce","uniform+ - random",0.4337,1,FALSE
"sp4_specialist_rare","pc5","rf","cor_truth","uniform+ - buffer",0.7964,0.8516,FALSE
"sp4_specialist_rare","pc5","rf","cor_truth","uniform+ - random",-0.244,0.8072,FALSE
"sp4_specialist_rare","pc5","rf","rmse_truth","uniform+ - buffer",0.7757,0.4379,FALSE
"sp4_specialist_rare","pc5","rf","rmse_truth","uniform+ - random",2.5112,0.0361,TRUE
"sp4_specialist_rare","pc5","rf","auc","uniform+ - buffer",0.0163,0.987,FALSE
"sp4_specialist_rare","pc5","rf","auc","uniform+ - random",0.9738,0.9904,FALSE
"sp4_specialist_rare","pc5","rf","tss","uniform+ - buffer",0.2862,0.7747,FALSE
"sp4_specialist_rare","pc5","rf","tss","uniform+ - random",1.3508,0.5303,FALSE
"sp4_specialist_rare","pc5","rf","boyce","uniform+ - buffer",0.6859,0.9855,FALSE
"sp4_specialist_rare","pc5","rf","boyce","uniform+ - random",0.8747,1,FALSE
"sp4_specialist_rare","pc5","brt","cor_truth","uniform+ - buffer",-0.9967,0.6379,FALSE
"sp4_specialist_rare","pc5","brt","cor_truth","uniform+ - random",-1.4271,0.4607,FALSE
"sp4_specialist_rare","pc5","brt","rmse_truth","uniform+ - buffer",0.9874,0.6468,FALSE
"sp4_specialist_rare","pc5","brt","rmse_truth","uniform+ - random",1.9197,0.1647,FALSE
"sp4_specialist_rare","pc5","brt","auc","uniform+ - buffer",-0.5111,0.6093,FALSE
"sp4_specialist_rare","pc5","brt","auc","uniform+ - random",0.5803,1,FALSE
"sp4_specialist_rare","pc5","brt","tss","uniform+ - buffer",-0.1779,0.8588,FALSE
"sp4_specialist_rare","pc5","brt","tss","uniform+ - random",0.4654,1,FALSE
"sp4_specialist_rare","pc5","brt","boyce","uniform+ - buffer",1.1186,0.7899,FALSE
"sp4_specialist_rare","pc5","brt","boyce","uniform+ - random",0.5869,1,FALSE
"sp4_specialist_rare","pc5","maxent","cor_truth","uniform+ - buffer",-6.3873,5.064e-10,TRUE
"sp4_specialist_rare","pc5","maxent","cor_truth","uniform+ - random",-5.5104,7.162e-08,TRUE
"sp4_specialist_rare","pc5","maxent","rmse_truth","uniform+ - buffer",6.8178,2.774e-11,TRUE
"sp4_specialist_rare","pc5","maxent","rmse_truth","uniform+ - random",5.9638,4.928e-09,TRUE
"sp4_specialist_rare","pc5","maxent","auc","uniform+ - buffer",0.0863,0.9312,FALSE
"sp4_specialist_rare","pc5","maxent","auc","uniform+ - random",1.0031,0.9475,FALSE
"sp4_specialist_rare","pc5","maxent","tss","uniform+ - buffer",0.0312,0.9751,FALSE
"sp4_specialist_rare","pc5","maxent","tss","uniform+ - random",1.0946,0.821,FALSE
"sp4_specialist_rare","pc5","maxent","boyce","uniform+ - buffer",1.3534,0.5278,FALSE
"sp4_specialist_rare","pc5","maxent","boyce","uniform+ - random",0.6008,0.548,FALSE
"sp4_specialist_rare","raw12","glm","cor_truth","uniform+ - buffer",-4.8567,3.581e-06,TRUE
"sp4_specialist_rare","raw12","glm","cor_truth","uniform+ - random",-3.8991,0.0001931,TRUE
"sp4_specialist_rare","raw12","glm","rmse_truth","uniform+ - buffer",3.8048,0.0004258,TRUE
"sp4_specialist_rare","raw12","glm","rmse_truth","uniform+ - random",3.1212,0.003603,TRUE
"sp4_specialist_rare","raw12","glm","auc","uniform+ - buffer",-1.0796,0.841,FALSE
"sp4_specialist_rare","raw12","glm","auc","uniform+ - random",-0.4914,0.6231,FALSE
"sp4_specialist_rare","raw12","glm","tss","uniform+ - buffer",-1.2344,0.6511,FALSE
"sp4_specialist_rare","raw12","glm","tss","uniform+ - random",-0.6552,1,FALSE
"sp4_specialist_rare","raw12","glm","boyce","uniform+ - buffer",-0.0363,0.9711,FALSE
"sp4_specialist_rare","raw12","glm","boyce","uniform+ - random",-0.1166,1,FALSE
"sp4_specialist_rare","raw12","gam","cor_truth","uniform+ - buffer",-4.638,1.055e-05,TRUE
"sp4_specialist_rare","raw12","gam","cor_truth","uniform+ - random",-2.5434,0.02195,TRUE
"sp4_specialist_rare","raw12","gam","rmse_truth","uniform+ - buffer",4.417,3.002e-05,TRUE
"sp4_specialist_rare","raw12","gam","rmse_truth","uniform+ - random",2.5987,0.01872,TRUE
"sp4_specialist_rare","raw12","gam","auc","uniform+ - buffer",-1.9968,0.1375,FALSE
"sp4_specialist_rare","raw12","gam","auc","uniform+ - random",-1.2349,0.4337,FALSE
"sp4_specialist_rare","raw12","gam","tss","uniform+ - buffer",-1.8031,0.2141,FALSE
"sp4_specialist_rare","raw12","gam","tss","uniform+ - random",-1.1123,0.5321,FALSE
"sp4_specialist_rare","raw12","gam","boyce","uniform+ - buffer",1.6107,0.3217,FALSE
"sp4_specialist_rare","raw12","gam","boyce","uniform+ - random",0.0793,0.9368,FALSE
"sp4_specialist_rare","raw12","rf","cor_truth","uniform+ - buffer",-3.7311,0.0005719,TRUE
"sp4_specialist_rare","raw12","rf","cor_truth","uniform+ - random",-3.6437,0.0005376,TRUE
"sp4_specialist_rare","raw12","rf","rmse_truth","uniform+ - buffer",4.7485,4.099e-06,TRUE
"sp4_specialist_rare","raw12","rf","rmse_truth","uniform+ - random",5.561,8.047e-08,TRUE
"sp4_specialist_rare","raw12","rf","auc","uniform+ - buffer",-0.6416,1,FALSE
"sp4_specialist_rare","raw12","rf","auc","uniform+ - random",0.0555,0.9557,FALSE
"sp4_specialist_rare","raw12","rf","tss","uniform+ - buffer",-0.8631,0.7762,FALSE
"sp4_specialist_rare","raw12","rf","tss","uniform+ - random",0.1064,0.9152,FALSE
"sp4_specialist_rare","raw12","rf","boyce","uniform+ - buffer",-1.1048,0.8077,FALSE
"sp4_specialist_rare","raw12","rf","boyce","uniform+ - random",-0.5524,1,FALSE
"sp4_specialist_rare","raw12","brt","cor_truth","uniform+ - buffer",-4.8774,3.225e-06,TRUE
"sp4_specialist_rare","raw12","brt","cor_truth","uniform+ - random",-3.3467,0.001635,TRUE
"sp4_specialist_rare","raw12","brt","rmse_truth","uniform+ - buffer",5.1973,6.065e-07,TRUE
"sp4_specialist_rare","raw12","brt","rmse_truth","uniform+ - random",4.3664,2.526e-05,TRUE
"sp4_specialist_rare","raw12","brt","auc","uniform+ - buffer",-1.8604,0.1885,FALSE
"sp4_specialist_rare","raw12","brt","auc","uniform+ - random",-0.1716,0.8637,FALSE
"sp4_specialist_rare","raw12","brt","tss","uniform+ - buffer",-2.3116,0.0624,FALSE
"sp4_specialist_rare","raw12","brt","tss","uniform+ - random",-0.9777,0.3282,FALSE
"sp4_specialist_rare","raw12","brt","boyce","uniform+ - buffer",-1.3327,0.5479,FALSE
"sp4_specialist_rare","raw12","brt","boyce","uniform+ - random",-0.2624,0.793,FALSE
"sp4_specialist_rare","raw12","maxent","cor_truth","uniform+ - buffer",-6.484,2.68e-10,TRUE
"sp4_specialist_rare","raw12","maxent","cor_truth","uniform+ - random",-5.759,1.693e-08,TRUE
"sp4_specialist_rare","raw12","maxent","rmse_truth","uniform+ - buffer",7.0502,5.359e-12,TRUE
"sp4_specialist_rare","raw12","maxent","rmse_truth","uniform+ - random",6.415,2.817e-10,TRUE
"sp4_specialist_rare","raw12","maxent","auc","uniform+ - buffer",-1.4428,0.2982,FALSE
"sp4_specialist_rare","raw12","maxent","auc","uniform+ - random",0.5868,0.5573,FALSE
"sp4_specialist_rare","raw12","maxent","tss","uniform+ - buffer",-1.0984,0.5441,FALSE
"sp4_specialist_rare","raw12","maxent","tss","uniform+ - random",0.0023,0.9982,FALSE
"sp4_specialist_rare","raw12","maxent","boyce","uniform+ - buffer",-1.2775,0.4029,FALSE
"sp4_specialist_rare","raw12","maxent","boyce","uniform+ - random",0.3038,0.7613,FALSE
