"species","species_label","predictor_set","metric","uniform_plus","RND","buffer","delta_vs_best_naive","category"
"sp1_generalist_common","Generalist · common","raw12","kappa",0.867,0.644,0.856,0.011,"beats both"
"sp1_generalist_common","Generalist · common","raw12","cor",0.866,0.657,0.858,0.008,"beats both"
"sp1_generalist_common","Generalist · common","raw12","r2",0.765,0.437,0.737,0.027,"beats both"
"sp1_generalist_common","Generalist · common","raw12","rmse",0.263,0.38,0.267,0.004,"beats both"
"sp1_generalist_common","Generalist · common","raw12","deviance",89.87,163.099,91.736,1.866,"beats both"
"sp3_generalist_rare","Generalist · rare","raw12","cor_truth",0.513,0.668,0.662,-0.155,"beats none"
"sp3_generalist_rare","Generalist · rare","raw12","rmse_truth",0.461,0.35,0.397,-0.11,"beats none"
"sp3_generalist_rare","Generalist · rare","raw12","auc",0.894,0.826,0.909,-0.016,"beats one"
"sp3_generalist_rare","Generalist · rare","raw12","boyce",0.921,0.919,0.923,-0.002,"beats one"
"sp3_generalist_rare","Generalist · rare","raw12","tss",0.667,0.544,0.689,-0.022,"beats one"
"sp3_generalist_rare","Generalist · rare","raw12","sensitivity",0.867,0.833,0.867,0,"beats one"
"sp3_generalist_rare","Generalist · rare","raw12","specificity",0.8,0.722,0.833,-0.033,"beats one"
"sp3_generalist_rare","Generalist · rare","raw12","kappa",0.667,0.544,0.689,-0.022,"beats one"
"sp3_generalist_rare","Generalist · rare","raw12","cor",0.688,0.571,0.718,-0.03,"beats one"
"sp3_generalist_rare","Generalist · rare","raw12","r2",0.482,0.329,0.525,-0.043,"beats one"
"sp3_generalist_rare","Generalist · rare","raw12","rmse",0.372,0.414,0.358,-0.014,"beats one"
"sp3_generalist_rare","Generalist · rare","raw12","deviance",155.803,186.637,146.873,-8.93,"beats one"
"sp2_specialist_common","Specialist · common","raw12","cor_truth",0.668,0.792,0.745,-0.124,"beats none"
"sp2_specialist_common","Specialist · common","raw12","rmse_truth",0.306,0.203,0.265,-0.102,"beats none"
"sp2_specialist_common","Specialist · common","raw12","auc",0.991,0.948,0.995,-0.004,"beats one"
"sp2_specialist_common","Specialist · common","raw12","boyce",0.712,0.788,0.743,-0.076,"beats none"
"sp2_specialist_common","Specialist · common","raw12","tss",0.956,0.833,0.956,0,"beats one"
"sp2_specialist_common","Specialist · common","raw12","sensitivity",0.989,0.978,0.989,0,"beats one"
"sp2_specialist_common","Specialist · common","raw12","specificity",0.967,0.856,0.972,-0.006,"beats one"
"sp2_specialist_common","Specialist · common","raw12","kappa",0.956,0.833,0.956,0,"beats one"
"sp2_specialist_common","Specialist · common","raw12","cor",0.946,0.831,0.948,-0.001,"beats one"
"sp2_specialist_common","Specialist · common","raw12","r2",0.912,0.692,0.917,-0.005,"beats one"
"sp2_specialist_common","Specialist · common","raw12","rmse",0.176,0.286,0.176,0.001,"beats one"
"sp2_specialist_common","Specialist · common","raw12","deviance",52.892,101.609,45.67,-7.222,"beats one"
"sp4_specialist_rare","Specialist · rare","raw12","cor_truth",0.261,0.305,0.314,-0.052,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","rmse_truth",0.377,0.336,0.336,-0.041,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","auc",0.948,0.948,0.959,-0.011,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","boyce",0.743,0.771,0.799,-0.056,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","tss",0.833,0.846,0.867,-0.033,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","sensitivity",0.972,1,1,-0.028,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","specificity",0.879,0.909,0.923,-0.044,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","kappa",0.833,0.846,0.867,-0.033,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","cor",0.806,0.807,0.823,-0.017,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","r2",0.721,0.753,0.769,-0.048,"beats none"
"sp4_specialist_rare","Specialist · rare","raw12","rmse",0.322,0.327,0.316,-0.006,"beats one"
"sp4_specialist_rare","Specialist · rare","raw12","deviance",20.848,21.631,20.632,-0.217,"beats one"
